size,latency
10,7.114
20,7.037
30,6.949
40,6.833
50,6.835
60,7.096
70,6.979
80,6.905
90,6.986
100,6.627
110,6.917
120,7.007
130,6.949
140,6.866
150,6.925
160,6.881
170,6.993
180,6.849
190,6.861
200,6.814
210,6.833
220,6.966
230,7.085
240,7.329
250,7.683
260,7.316
270,7.419
280,7.355
290,7.328
300,8.255
310,7.550
320,8.266
330,7.481
340,7.594
350,7.206
360,7.450
370,7.800
380,7.294
390,7.668
400,7.174
410,7.332
420,8.467
430,7.422
440,7.697
450,7.250
460,7.718
470,7.406
480,7.599
490,7.962
500,7.405
510,7.622
520,7.440
530,7.854
540,7.445
550,7.757
560,7.516
570,7.752
580,7.610
590,7.708
600,8.002
610,7.754
620,7.902
630,7.556
640,7.840
650,7.526
660,7.799
670,7.554
680,7.744
690,7.274
700,7.712
710,8.101
720,7.800
730,7.632
740,7.521
750,7.998
760,7.493
770,7.605
780,7.482
790,7.803
800,7.591
810,7.849
820,7.819
830,7.727
840,7.368
850,7.696
860,8.130
870,7.781
880,7.981
890,7.732
900,7.936
910,7.814
920,8.009
930,7.567
940,7.948
950,7.508
960,7.940
970,7.767
980,7.998
990,7.655
1000,7.905